floor_materials,inadequate_floor
NA,NA
11,TRUE
12,TRUE
13,TRUE
21,FALSE
22,FALSE
23,FALSE
24,FALSE
31,FALSE
32,FALSE
33,FALSE
34,FALSE
35,FALSE
36,FALSE
37,FALSE
38,FALSE
39,FALSE
41,FALSE
96,FALSE
99,FALSE
....carpet,FALSE
"....cement, concrete",FALSE
....ceramic,FALSE
....dung,TRUE
"....earth, sand",TRUE
"....palm, bamboo",FALSE
"....parquet, polished wood",FALSE
....tiles,FALSE
....wood planks,FALSE
..carpet,FALSE
..Carpet,FALSE
..cement,FALSE
..Cement,FALSE
..cement tiles,FALSE
..Cement tiles,FALSE
..ceramic tiles,FALSE
..Ceramic tiles,FALSE
"..earth, sand",TRUE
"..Earth, sand",TRUE
"..parquet, polished wood",FALSE
"..Parquet, polished wood",FALSE
..vinyl,FALSE
..Vinyl,FALSE
..wood planks,FALSE
..Wood planks,FALSE
adobe,FALSE
Adobe,FALSE
alphalt strips,FALSE
Asphlat tiles/vynil,FALSE
asphlat tiles/vynil,FALSE
autres matériaux moderne,FALSE
bamboo,FALSE
bare wood planks,FALSE
bois/autres végétaux,FALSE
brick,FALSE
brick tiles,FALSE
brick/concrete,FALSE
bricks,FALSE
Bricks,FALSE
broken bricks,FALSE
cane,FALSE
carpet,FALSE
Carpet,FALSE
Carpet/ rug,FALSE
carrelage,FALSE
Carrelage,FALSE
cement,FALSE
Cement,FALSE
cement / bricks,FALSE
cement bricks,FALSE
cement tiles,FALSE
cement tiles (mosaic),FALSE
cement tiles/brick,FALSE
cement tiles/mosaic,FALSE
Cement tiles/mosaic,FALSE
"cement, concrete",FALSE
"cement, maconery",FALSE
"cement, tiles",FALSE
cement/ tile,FALSE
Cement/brick,FALSE
cement/brick,FALSE
cement/concrete,FALSE
cement/gravel,FALSE
cement/stone,FALSE
Cements,FALSE
ceramic,FALSE
ceramic / mosaic / tiles,FALSE
ceramic mosaics,FALSE
ceramic tiles,FALSE
Ceramic tiles,FALSE
"ceramic tiles, marble chips",FALSE
"ceramic tiles, mosaic",FALSE
"Ceramic tiles, terrazzo",FALSE
"ceramic tiles, vinyl, bricks",FALSE
ceramic tiles/ marble,FALSE
Ceramic tiles/Terazzo,FALSE
ceramic tiles/terrazo,FALSE
ceramic tyles,FALSE
"ceramic, marble, ...",FALSE
ceramic/ marble tile,FALSE
ceramic/ marmol,FALSE
ceramic/marble tiles,FALSE
ceramic/marble tiles tiles,FALSE
ceramic/marble/granite,FALSE
ceramic/marble/porcelain tiles / terrazo,FALSE
ceramic/marble/porcelain tiles/terrazo,FALSE
ceramic/terrazzo tiles,FALSE
ceramics tiles,FALSE
chips/terrazo,FALSE
Chips/Terrazzo,FALSE
ciment,FALSE
clay,FALSE
clay / sand,FALSE
"clay bricks, uncooked",FALSE
concrete cement,FALSE
"concrete, brick",FALSE
"concrete, cement",FALSE
"Concrete, cement",FALSE
concrete/cement,FALSE
Concrete/cement,FALSE
dirt,TRUE
Dirt,TRUE
"dirt, earth",TRUE
dirt/earth,TRUE
dirt/sand,TRUE
Dirt/sand,TRUE
dk,TRUE
dung,TRUE
Dung,TRUE
earth,TRUE
"earth (""terra batida"")/sand",TRUE
Earth (terra batida),TRUE
Earth (terra n?o batida),TRUE
earth / sand,TRUE
earth and dung,TRUE
"earth, dung",TRUE
"earth, mud, dung",TRUE
"earth, mud, dung, sand",TRUE
"earth, sand",TRUE
"Earth, sand",TRUE
"earth, sand, dung",TRUE
"Earth, sand, dung",TRUE
"earth, sand, mud",TRUE
"earth, sand/dung",TRUE
"earth,sand",TRUE
earth/ sand,TRUE
Earth/ sand,TRUE
earth/bamboo,TRUE
earth/bamboo (katcha),TRUE
earth/clay,TRUE
earth/dung,TRUE
earth/mud,TRUE
earth/mud/dung,TRUE
earth/sand,TRUE
Earth/sand,TRUE
earth/sand floor,TRUE
earth/sand/clay,TRUE
Earth/Sand/Mud,TRUE
earth/sand/mud,TRUE
finished - carpet,FALSE
finished - cement,FALSE
finished - ceramic tiles,FALSE
finished - parquet or polished wood,FALSE
finished - vinyl or asphalt strips,FALSE
finished floor - carpeted,FALSE
finished floor - cement,FALSE
finished floor - ceramic or marble tiles,FALSE
finished floor - parquet or polished wood or laminate,FALSE
finished floor - vinyl or linoleum,FALSE
finished floor parquet or polished wood,FALSE
floating house,FALSE
"floor mat, linoleum, vinyl",FALSE
"Floor mat, linoleum, vinyl",FALSE
Granite,FALSE
granite / marble / ceramic,FALSE
"Granite, ceramic tiles",FALSE
"granite, ceramic tiles",FALSE
"granite,marble,mosai",FALSE
granito,FALSE
house boat,FALSE
"lino, gerflex",FALSE
lino/gerflex,FALSE
linoleum,FALSE
linoleum or asphalt,FALSE
"linoleum, carpet",FALSE
linoleum/rubber carpet,FALSE
lynoleum,FALSE
manure,TRUE
marble,FALSE
Marble,FALSE
"marble, ceramic tile",FALSE
marble/ceramic tiles,FALSE
marble/granite,FALSE
"marmoble, ceramic tile",FALSE
"marmol, parquet, polished wood",FALSE
mat,FALSE
Mat,FALSE
mats,FALSE
Mats,FALSE
mosaic or tile,FALSE
mosaic or tiles,FALSE
"mosaic, ceramic",FALSE
mosaic/ cement,FALSE
mosaic/ceramic,FALSE
mud bricks,FALSE
mud mixed with dung,TRUE
mud plasterwork,TRUE
Mud plasterwork,TRUE
mud stones,TRUE
Mud stones,TRUE
"mud, dung, sand",TRUE
mud/clay,TRUE
mud/dirt,TRUE
mud/earth,TRUE
mud/earth/dung,TRUE
natural - dung,TRUE
natural - earth / sand,TRUE
natural floor - earth/sand,TRUE
natural floor mud/earth,TRUE
Natural floor mud/earth,TRUE
other,FALSE
OTHER,FALSE
Other,FALSE
other finished,FALSE
other_(41),FALSE
palm / bamboo,FALSE
palm bamboo,FALSE
"palm, bamboo",FALSE
"Palm, bamboo",FALSE
"palm, bamboo, leeds",FALSE
palm/ bamboo,FALSE
Palm/ bamboo,FALSE
palm/bamboo,FALSE
Palm/bamboo,FALSE
palm/bamboo/leaves,FALSE
palm/bambou,FALSE
Palm/bambou,FALSE
palms,FALSE
Palms/bamboos,FALSE
Parket,FALSE
parket,FALSE
parquet,FALSE
"parquet / ""machimbre""",FALSE
parquet / polished wood,FALSE
parquet / wood polished,FALSE
Parquet or pol. wood,FALSE
parquet or polished,FALSE
parquet or polished wood,FALSE
Parquet or polished wood,FALSE
parquet or tiles,FALSE
parquet or wooden floor,FALSE
"parquet, polished wd",FALSE
"parquet, polished wood",FALSE
"Parquet, polished wood",FALSE
"parquet,polished wd",FALSE
parquet/ polished wood,FALSE
Parquet/ polished wood,FALSE
parquet/polished wood,FALSE
parquet/wood tiles,FALSE
planks,FALSE
polished wood,FALSE
Polished wood,FALSE
"polished wood, parquet",FALSE
polished wood/vinyl/tiles,FALSE
reed / bamboo,FALSE
"reed, bamboo",FALSE
rubber/vinil,FALSE
rudimentary - wood planks,FALSE
rudimentary floor - wood planks,FALSE
rudimentary floor wood planks,FALSE
rudimentary wood,FALSE
rudimentary wood planks,FALSE
"rug, carpet",FALSE
"rustic, wood planks",FALSE
sand,TRUE
sand and dung,TRUE
"sand, soil, mud floor",TRUE
"soil, sand",TRUE
stone,FALSE
"stone, brick",FALSE
stones,FALSE
straw/sawdust,FALSE
tablets / wood planks,FALSE
terrazo,FALSE
terrazo/ceramic tiles,FALSE
terrazzo,FALSE
terre/sable,TRUE
tezek,FALSE
tierra,FALSE
tile,FALSE
"tile, ceramic",FALSE
tile/ cement,FALSE
tiled floor,FALSE
tiles,FALSE
Tiles/ bricks,FALSE
tiles/terrazzo,FALSE
vinyl,FALSE
vinyl (pvc) or asphalt strips,FALSE
vinyl / asphalt,FALSE
vinyl / asphalt strips,FALSE
vinyl or alphalt strips,FALSE
vinyl or aspalt strips,FALSE
Vinyl or aspalt strips,FALSE
vinyl or asphalt,FALSE
vinyl or asphalt strips,FALSE
vinyl sheets/tiles,FALSE
Vinyl strips/asphalt,FALSE
vinyl tile/vinyl carpet,FALSE
"vinyl,  linoleum",FALSE
"vinyl, asphalt strip",FALSE
"vinyl, asphalt strips",FALSE
"Vinyl, asphalt strips",FALSE
"vinyl, linoleum",FALSE
"vinyl, linoleum, ceramic",FALSE
"vinyl,asphalt strips",FALSE
Vinyl/ asphalt strips,FALSE
Vinyl/asphalt strips,FALSE
vinyl/asphalt strips,FALSE
vinyl/pvc or asphalt strips,FALSE
vynil or asphalt strips,FALSE
Vynil or asphalt strips,FALSE
wall to wall carpet,FALSE
weaves/palms,FALSE
wood,FALSE
Wood,FALSE
"wood bats (""tacos de madeira"")",FALSE
Wood plank,FALSE
wood planks,FALSE
Wood planks,FALSE
"wood planks, bamboo",FALSE
"Wood planks, bamboo, plam",FALSE
"wood planks, palm, bamboo",FALSE
wood planks/boards,FALSE
Wood planks/timber,FALSE
wood polished,FALSE
"wood, planks",FALSE
"wood, plunks",FALSE
wood/plank,FALSE
wooden tile,FALSE
woolen carpet/synthetic carpet,FALSE
woolen carpets/ synthetic carpet,FALSE
woolen carpets/synthetic carpets,FALSE
ÿcement,FALSE
ÿearth/sand,TRUE
ÿother finished,FALSE
ÿtiles,FALSE
ÿû adobe,FALSE
ÿû cement,FALSE
ÿû earth,FALSE
"ÿû parquet, polished wood",FALSE
ÿû rudimentary wood,FALSE
"ÿû tiles, brick",FALSE
ÿwood/palm/bamboo,FALSE
